reactant_000,reactant_001
CS(=O)(=O)Nc1ccc2c(c1)OC(CN)CO2,Cn1cc(CCC(=O)O)c2ccccc21
CC(Cl)C(=O)Cl,COC(=O)c1ccc(N)c(O)c1
Cc1csc(-c2nn(CC(=O)O)c(=O)n2CC(C)C)c1Cl,NCc1cccc(C(F)(F)F)c1
Nc1cc(F)cc(F)c1,O=[N+]([O-])c1ccc(Cl)cc1F
CCCCCCCCCCCCCCBr,CCOC(=O)c1ccc(O)cc1
CS(C)=O,N#Cc1cc(-c2cccnc2Oc2ccc(N)cc2)ccn1
Cn1ncc2[nH]ccc2c1=O,O=C(c1ccc(CBr)cc1)c1ccc(C(F)(F)F)cc1
CC(Br)c1cc([N+](=O)[O-])c(Sc2ccc(Cl)cc2Cl)s1,COc1ccc(CN)cc1
CCOC(=O)CC1OB(O)c2cc(O)cc(C)c21,Clc1ncccn1
CC(C)(C)[Si](C)(C)OCCc1ccc(C=O)c(O)c1,ClCc1ccccc1
CN(C)CCCCl,Cc1ccc(N2N=C3c4cc(O)ccc4CCC3CC2=O)cc1
CC(C)(COC1CCCCO1)C(=O)CC#N,NO
CCCCC(F)(F)C(=O)CP(=O)(OC)OC,COC(=O)CCCCCC[C@@H]1[C@@H](C=O)[C@H](OC2CCCCO2)C[C@@H]1OC(C)=O
CC(C)(C)OC(=O)N1CCc2c([nH]c3ccccc23)C1C1(c2ccc(Cl)cc2)CCC1,N#CCBr
C1=CCNCC1,O=C(O)c1cc(S(=O)(=O)Cl)ccc1Cl
CC(C)(C)c1ccc(CBr)cc1,[C-]#N
CC(C)(C)OC(=O)N1C(=O)CC2Cc3ccccc3C21,O=[Mn](=O)(=O)[O-]
Nc1cccnc1C(=O)NO,O=CO
C[C@@H]1CN(c2c(C=O)cc3c(Cl)noc3c2F)C[C@H](C)O1,C[S-]
CNCC(=O)O,O=C=Nc1ccccc1
CC(C)n1ncc2c(C(=O)O)cc(Br)nc21,COCc1cc(C)[nH]c(=O)c1CN
NCCCn1ccnc1,O=C(Cl)CCl
CN(C)C=O,COCOc1cc(Cl)c(Br)cc1C(C#N)c1ncccc1OCOC
COC(=O)c1cc2nnn(-c3ccccc3)c2[nH]c1=O,Cn1ncnc1CCl
CCCCOCCOc1ccc(-c2ccc3c(c2)C=C(C(=O)OC)CCN3)cc1,Cn1cc(C=O)cn1
CCCCC[C@H]1CC[C@H](CCC2CCC(=O)CC2)CC1,Oc1ccccc1
CCCCCCI,Cc1c(F)c(N)c2c(=O)cc(-c3ccc(NC(=O)C(C)(C)C)c(F)c3)oc2c1F
CC(=O)O,CCOC(=O)C(=NO)C(=O)CCc1cccc(C)c1
CCCC1CC(O)c2cc(S(N)(=O)=O)sc2S1,O=S([O-])OO
CC(C)(O)Cn1cc(B2OC(C)(C)C(C)(C)O2)cn1,FC(F)(F)Cn1ccnc1-c1nc2c(s1)CCOc1cc(Br)ccc1-2
CCc1ccnn2c(C)nnc12,O=C1CCC(=O)N1Br
C1CCOC1,CC=Cc1c(NC(=O)OCc2ccccc2)ccc2c1O[C@@H](COS(=O)(=O)c1ccc(C)cc1)CO2
CCCOc1ccc(C(N)CC(=O)O)cc1,CCOC(=O)N1C(=O)c2ccccc2C1=O
NCCS(=O)(=O)O,O=C(Cl)OCc1ccccc1
Clc1cncc(N2CCNCC2)n1,O=C(Cl)C1CC1
N#CC1CCC(=O)C1CCCCCCCO,OCCO
CC(C)COC(=O)Cl,CCOC(=O)C(C#N)=NO
COC(=O)Cc1cc2ccc(F)cc2c(B2OC(C)(C)C(C)(C)O2)c1C,O=S(=O)(NCCO)c1ccc(Br)cc1
ClCC1CO1,Oc1ccc(OCC2CC2)cc1
CCCCC(N)c1ccc(OC)c(OC)c1,CCOC(=O)N1C(=O)c2ccccc2C1=O
C#Cc1cc([Si](C)(C)C)ccc1C,CO
CI,COC(=O)c1cc(C(=O)c2c(-c3ccc(Br)cc3)noc2C)c[nH]1
CC(C)(C)OC(=O)N1CCC(CBr)CC1,Nc1cc(Cl)ncc1I
Cc1cc(C)nc(O[C@H](C(=O)O)[C@@]2(c3ccccc3)NCC(=O)N(C)c3ccccc32)n1,O=C(O)CC(O)(CC(=O)O)C(=O)O
Nc1ncc(Cl)cc1-c1ccc(Oc2ccccc2)cc1,O=S(=O)(Cl)CCCl
CC(C)(C)OC(=O)N[C@@H](C(=O)O)c1ccccc1,O[C@H]1CN2CCC1CC2
N#Cc1ccc(CC(=O)O)cc1,Nc1ccccc1N
C[Si](C)(C)N=[N+]=[N-],Cc1ncoc1C(C)(O)c1ccoc1
O=C(O)CN1C(=O)CSC1=S,O=Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1
CC(C)(C)OC(=O)N(C[C@H](O)COc1ccccc1)C[C@H]1CCc2cc(I)ccc2O1,CC(C)(C)[Si](C)(C)Cl
O=C(O)c1ccnc(Cl)c1,OCc1ccccc1
CC(C)(C)OC(=O)N[C@H]1CC[C@H](OS(C)(=O)=O)CC1,C[Si](C)(C)N=[N+]=[N-]
BrCc1ccccc1,Brc1ccc2[nH]c3ccc(Br)cc3c2c1
CCO,Fc1cnccc1-c1nc2cc(C(F)(F)F)cnc2s1
O=S(=O)(Cl)CC(F)(F)F,[NH4+]
CNC,COc1cc(N2CCOCC2)ccc1-c1nnc(-c2c(-c3ccccc3)noc2Cl)o1
CC(C)(C)Cl,Oc1ccccc1F
NC(Cc1cccc(OC(F)(F)C(F)F)c1)C(O)c1cccc(F)n1,O=C(O)c1cccc2c1C=CCCC2
C1CCOC1,CC(C)(C)[O-]
CC(C)(C)OC(=O)n1nc(I)c2cc(NS(=O)(=O)c3ccccc3S(C)(=O)=O)ccc21,OB(O)c1cccc(Br)c1
FC(F)(F)c1ccc(CCl)cn1,O=c1[nH]nc2c(Br)c(-c3ccc(Cl)cc3)ccn12
CC[C@@H]1CCCN1c1cc(-c2cc(F)c(C#N)c(F)c2)nc(NC)n1,CS
CC([O-])=S,CS(=O)(=O)OC1CCC2(CC1)OCCO2
CC(C)(C)OC(=O)NCCCCCC=O,CCC(C#N)(CC)O[PH](=O)[O-]
O=C(Cl)c1ccccc1,O=C(O)C1CCNCC1
C=CS(C)(=O)=O,CCOCc1nc2cnc3ccccc3c2n1CC1(O)CC1
CN(C)Cc1nc(CSCCN)cs1,CN=C(SC)SC
Cc1cccc2c1-c1c(C)cccc1C2,O=C=O
CCOC(=O)CSC(=NO)C(C)(C)S(C)(=O)=O,[NH4+]
CCCCCCCCn1cc(C=O)c2cc(-c3cccc(C)c3)ccc21,O=[Mn](=O)(=O)[O-]
CI,OC(Cn1cncn1)(c1ccc(F)cc1F)C(F)(F)SC1CC1
CCCNC,COC(=O)c1cc(OC(C)C)cc(C(=O)O)c1
CC(C)(C)OC(=O)N1CCNCC1,O=Cc1ccc(Br)cc1Oc1ccccc1
CC(C)CC=O,O=C(O)c1ccsc1
COc1c(N(C)C)cc(Br)cc1C(C)(C)O,O=C([O-])O
Nc1ncc2sc(=S)[nH]c2n1,[OH-]
Cc1c(Br)cc(F)c(O)c1N,O=C(Br)CBr
O=S(c1ccccc1)c1ccccc1,O=c1c2ccccc2sc2ccc(Cl)cc12
CCN=C=S,Nc1cnc2ccc(Cl)nc2n1
Nc1ccc(F)cc1C(=O)O,O=S(=O)(Cl)c1cccc2cccnc12
O=[N+]([O-])c1ccc(F)nc1,OCCCc1ccccc1
Clc1cc(I)c(I)cc1Cl,OB(O)c1cccc(O)c1
CC(Br)C(=O)OC(C)(C)C,Oc1ccccn1
CCCc1ccc(C(=O)Cl)cc1,CCOC(=O)c1ccc(Cc2nc(C(N)=O)c(N)[nH]2)o1
Nc1ccc(C(=O)O)cc1N,S=C=S
CC(C)(C)OC(=O)N(CS(=O)(=O)c1ccccc1)c1ccc(C#N)cc1,O=C1C=C(Nc2cccc(C(F)(F)F)c2)CC1
CCO,O=C(O)C(c1ccccc1)c1c(O)c2ccccc2oc1=O
BrCc1ccccc1,CC(C)(C(N)=O)c1ccccc1O
CS,CSc1c(C(=O)O)ccc(Cl)c1F
CC(C)(C)OC(=O)N1CCC(n2nc(I)c3c(N)ncnc32)CC1,CC1(C)OB(c2ccc(NC(=O)OCc3ccccc3)cc2)OC1(C)C
Cc1ccc(S(=O)(=O)O)cc1,O=C(O)[C@@H]1C[C@@H](O)CN1C(=O)c1ccccc1
CC([O-])=S,Cc1ccc(S(=O)(=O)OCCOCC(F)(F)F)cc1
Cn1cc(-c2ccc3c(c2)C(=O)CC2(CCNCC2)O3)cn1,O=C(O)c1cc(O)c2cccc(C3CC3)c2n1
CCOC(=O)c1cccnc1-c1ccc(F)cc1F,O=C(OO)c1cccc(Cl)c1
CSc1ccccc1-c1nc2cc(C(F)(F)F)cnc2n1C,[O-][I+3]([O-])([O-])[O-]
Cc1cc(CO)ccc1C(=O)CBr,O=c1cc(OCc2ccccc2)cc[nH]1
CC(C)(C)[O-],CCCCCC1CCC(C2CCC(C=O)(CCCCC)CC2)CC1
NC(Cc1ccc(C(F)(F)F)cc1)C(O)c1cccc(F)c1,O=C(Cl)CCc1ccccc1
CCOS(=O)(=O)OCC,O=C(c1ccccc1Cl)c1c(O)nn(-c2c(Cl)cc(Cl)cc2Cl)c1N1C(=O)c2ccccc2C1=O
NCCCCCC(=O)O,O=C(OCC1c2ccccc2-c2ccccc21)ON1C(=O)CCC1=O
O=S([O-])OO,c1ccc2c(c1)SCCC2n1ccnc1
COc1c(Cl)ccc(Cl)c1C(=O)NO,O=C(O)CBr
Cc1ccc(N)cc1Cl,O=S(=O)(O)O
C[C@H](N)C(N)=O,O=C(O)C1CC12CCCCC2
CC(C)(C=O)NC(=O)OCc1ccccc1,FC(F)(F)c1cc(I)cc(C(F)(F)F)c1
CC1=CCc2ccc(N(NC(=O)OC(C)(C)C)C(=O)OC(C)(C)C)cc21,CCOC(=O)CC(C)=O
C=C[Sn](CCCC)(CCCC)CCCC,COc1cc(Cl)c(-c2cc(Cl)ccc2Cl)cc1I
Brc1cnc2[nH]ccc2c1,O=Cc1c(Cl)ccc(OCC(F)(F)F)c1F
CCOC(=O)c1cn(C)c2c(CBr)csc2c1=O,[N-]=[N+]=[N-]
CCC(=O)OC(=O)CC,Cc1ccc(C2CC(NC(=O)C(F)(F)F)=NN2c2ccc(C(=O)C(F)(F)F)cc2)cc1
Cc1ccc(NCCc2ccc(Cl)nc2)cc1,O=N[O-]
Cc1cc(=O)c(OCc2ccccc2)c(C=O)o1,NS(=O)(=O)O
CC(=O)O,Nc1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCOCC2)n1
CN(C)C=O,CN1Cc2c(CO)ncn2-c2cccc(Cl)c2C1=O
CC(C)=CCCC(C)=CCCC(C)CCOC1CCCCO1,COCCOC
CC(=O)O,CC1CC(C)(C)CC1CC#N
Clc1cccc(Cl)c1CBr,Nc1ccc(O)cc1[N+](=O)[O-]
C=CCBr,O=C1CCc2cc(N3CCNCC3)ccc2N1
BrCc1ccccc1,COc1cc(Br)cc(O)c1OC
CCOC(=O)CBr,Cc1ccc(C2CCCN(C(=O)OCc3ccccc3)C2)cc1N
O=c1c(Br)c(Br)cnn1-c1ccc(Cl)cc1,OCc1ccc(Cl)cc1
CC(=O)O,Nc1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)c(Cl)c1F
Cc1cc2c(O)nc(-c3ccccc3)nc2[nH]1,O=P(Cl)(Cl)Cl
CC(=O)OC(C)=O,CC1(C)O[C@H]2O[C@@](COCc3ccccc3)(C(F)F)[C@@H](OCc3ccccc3)[C@H]2O1
CC(C)(C)[Si](C)(C)Cl,CC(C)(O)c1cc(Br)ccc1CO
CC(C)(C)c1cc(CBr)ccc1F,[I-]
COc1nccc(I)c1-c1cc2ccc(N)cc2[nH]1,O=C(O)C(F)F
CCOC(=O)c1c(C=O)cc(CC)cc1C(F)(F)F,COC(=O)CP(=O)(OC)OC
CO,O=C(O)C1CCC(C(F)(F)F)CC1
C1CCOC1,CSc1ccc2[nH]c3c(c(C)nn3-c3ccccn3)c(=O)c2c1
CC(=O)OC(C)=O,CC(C)(C)OC(=O)N1CC[C@@H](O)[C@H]1C(=O)O
C#Cc1cc(F)ccc1CNC(=O)c1nc2n(c(=O)c1OCc1ccccc1)CCOC2(C)C,ON=C(Br)Br
CI,CO[C@H](C)CNC(=O)OC(C)(C)C
N#Cc1cccc(Br)c1,O=C([O-])[O-]
Cc1ncc(C=O)c(C)c1OCc1ccc(C#N)cc1,N#Cc1ccc(-c2ccc(N)cc2)cc1
Cc1nc(C(=O)N[C@@H](C)Cn2ccc(-c3ccc(C#N)c(Cl)c3)n2)c[nH]1,FCCI
NO,O=Cc1ccc(F)cc1
CC(=O)OCCCCCBr,Clc1ncnc2cc[nH]c12
CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)ON1C(=O)CCC1=O,CSCC[C@@H](N)C(=O)O
O=S(=O)(O)O,O=[N+]([O-])c1ccc(F)c(F)c1F
Cl,Nc1ccc2ccc(S(=O)(=O)[O-])cc2c1
COC(=O)c1c[nH]cc1C,Clc1nccc2ccccc12
Cc1cc(C2CC2)cc(C)c1O,Clc1nc(Cl)c2[nH]ccc2n1
COCCc1cc(N2CCN(CC[C@H]3CC[C@H](NC(=O)OC(C)(C)C)CC3)CC2)nc(C(C)(C)C)n1,ClCCl
CC1(C)C(=N)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccc(O)cc1,CO
O=C(Cl)OCc1ccccc1,O=C(O)[C@@H]1C[C@@H](O)CN1
CON,O=CNc1ncc(C(=O)C(=O)O)s1
CC1(C)OC(=O)CC(=O)O1,O=C(CBr)c1ccc(Br)cc1
CC(C)CCNc1nc(C(C)C)cs1,COC(=O)CCc1ccc(OCc2ccc(CCl)cc2)cc1
O=C1CCO1,Oc1cccc(C(F)(F)F)c1
COC(=O)CS,Fc1cc(F)c2cc[nH]c2c1
NC(Cc1ccccc1C(F)(F)F)C(O)c1ccc(F)cc1,O=C(O)c1ccc(F)c2ccccc12
CCc1ncoc1-c1ccc(Br)cn1,ClC(Cl)(Cl)C(Cl)(Cl)Cl
FC(F)(F)Oc1ccc(C=Cc2nc(CCl)co2)cc1,Oc1ccc(COCCn2ccnn2)c(F)c1
CO,COc1cccc(C(=O)O)c1I
CCOC(=O)CCc1cn(Cc2cc(O)cc(OCC)c2)cc1-c1ccccc1,ClCc1csc(-c2ccccc2)n1
BrCCCCc1ccccc1,O=Cc1cncn1Cc1ccccc1
COc1ccc(N2CCOCC2)c2sc(C(=O)O)nc12,NCc1ccccc1
CCS(=O)(=O)c1ccc2c(c1)CN(C(C)C)S(=O)(=O)N2CCCl,Fc1ccc2c(C3=CCNCC3)c[nH]c2c1
CCOC(=O)c1c[nH]nc1-c1ccc(F)cc1,ClCc1ccc(OCc2ccccc2)cc1
COC(=O)C(CC1CCCC1)c1ccc(I)cc1,OB(O)c1ccc2[nH]ccc2c1
CC(=O)CCl,Nc1nnc(Br)s1
COC(=O)C(O)c1ccc(OCc2ccc(F)cc2)cc1,COCCOCCl
CC(=O)O,N#Cc1ccc2[nH]nc(-c3ccc(F)cc3)c2c1
CCCCOCCOc1ccc(-c2ccc3c(c2)C=C(C(=O)OC)CCN3)cc1,O=Cc1ccco1
C1COCCO1,COC(Cl)C(=O)c1ccccc1
COc1cccc2c(CBr)coc12,[N-]=[N+]=[N-]
C1CCOC1,C=CCC1(c2ccc(F)cc2)CCN([C@@H](C)c2ccc(-c3ccc(F)cc3F)cc2)C(=O)O1
BrP(Br)Br,COC(=O)c1ccc(CO)cc1Oc1ccccc1
Cc1n[nH]c(C)n1,Cc1nc(Cl)cc(Cl)n1
CC(=O)CCCC#N,Clc1ccc([Mg]Br)cc1
CCOC(=O)C(C(=O)OCC)C(c1ccccc1)c1ccc(Cn2c(CC)nc3c(C)cc(C)nc32)cc1,CI
COc1ccccc1-c1c(C(N)=O)sc2cnc(Nc3ccc(N4CCC5(CCCN5C=O)C4)cc3OC(C)C)nc12,[OH-]
O=C(Cl)OCc1ccccc1,O=C(O)[C@@H]1CCCN1
NCC1CCCO1,O=[N+]([O-])c1cc(-c2nc3ccccc3o2)ccc1F
CNC(=O)c1ccncc1-c1ccccc1C,FC(F)(F)c1cc(CBr)cc(C(F)(F)F)c1
Cc1cc(O)ccc1N,N#Cc1cc(F)ccc1F
CCS,Clc1nc(Cl)c2ncccc2n1
CC(C)=O,O=C([O-])CCCCCCCn1c(-c2ccccc2)c[nH]c1=O
C1CCNCC1,CS(=O)(=O)c1cc(C(=O)O)cc([N+](=O)[O-])c1Cl
Cc1cc(C)c(N)c(Br)n1,O=N[O-]
COC(=O)CCCCCCBr,O=S(=O)(Nc1ccc2c(c1)nc(-c1ccccc1)n2-c1ccccc1)c1ccc(Cl)cc1
Cc1cc(C=O)ccc1O,N#Cc1ccc(Cl)nc1
CCOC(C)=NO,O=C(OCc1ccccc1)c1ccccc1F
CCCc1c(Cl)c2cc(Br)ccc2oc1=O,CCN(CC)C(=S)[S-]
BrCc1ccc(Br)nc1,[C-]#N
C#Cc1cccc(Nc2ncnc3cc(OC)c(O)cc23)c1,ClCCCBr
COc1ccc2c(c1)CCC2=O,O=C1CCC(=O)N1Br
CCCc1cc(-c2nc(CC)cs2)ccc1OCCBr,CCOC(=O)C[C@@H]1CCc2cc(O)ccc21
NC(=O)C(N)c1ccc(F)cc1F,O=C(C(Br)Br)C(F)(F)F
CI,O=C(O)c1ccc(-n2nc3c4ccccc4[nH]cc-3c2=O)cc1
COC(=O)c1c(Sc2nc(OC)cc(OC)n2)cccc1C(C)=O,CON
CCOC(=O)CC(=O)c1ccc(C)cc1,CNC(=N)S
CS(C)=O,O=c1[nH]c2cc(Br)c(F)cc2o1
N#CBr,NC(c1ccccc1)C(NC(=O)Nc1ccc(C(F)(F)F)cc1)c1ccccc1
N#Cc1ccccc1O,O=[N+]([O-])O
CN(C)C,O=C1C[C@H](O)CO1
NC(Cc1ccc(C(F)(F)F)cc1)C(O)c1cccc2ccccc12,O=C(Cl)c1ccc(F)cc1
CS(=O)(=O)c1cnc2[nH]c(-c3ncco3)cc2c1,Fc1ccc(CBr)cc1
Nc1nccc(-n2c(C(Cl)(Cl)Cl)nc3ccc(Br)cc32)n1,OCCO
N#Cc1ccc(F)cc1CBr,OCC(F)(F)F
COC(=O)c1ccc(C(=O)O)cc1,N#Cc1ccc(CN2CCC(N)CC2)cc1
BrCCCN1CCCC1,N#Cc1ccc(C2NC(=O)N(c3cccc(C(F)(F)F)c3)C3=C2C(=O)CCC3)cc1
CC1(C)CCc2nc(CCl)[nH]c(=O)c2C1,[N-]=[N+]=[N-]
CON=C(C(=O)N[C@@H]1C(=O)N(S(=O)(=O)[O-])[C@@H]1SC(C)=O)c1csc(NC(=O)CCl)n1,CSC(N)=S
N#Cc1ccnc(Cl)c1,OB(O)c1ccc(C(F)(F)F)cc1
COc1ccc(C(Cl)(c2ccccc2)c2ccc(OC)cc2)cc1,NC(=O)Nc1nc(OC(=O)N(c2ccccc2)c2ccccc2)c2ncn([C@H]3C[C@H](O)[C@@H](CO)O3)c2n1
CNCC1CN(C(=O)OC(C)(C)C)C1,O=C1COC1
Cc1nc2ccccc2n1C1C[C@H]2CC[C@@H](C1)N2CCC(CNS(=O)(=O)c1cccc(C#N)c1)c1ccccc1,NC(N)=O
COc1ccc(C(=O)Cl)cc1,NCC[C@@H](O)C(=O)O
C=Cc1cncc(C#N)c1C,O=C1CCC(=O)N1Br
CSc1nccc(Cl)n1,I
COc1cc(NC(=O)C(C)C)c(Br)cc1C,COc1ccc(CCl)cc1
CCOC(=O)C(Br)C(C)C,O=C1NCCN1Cc1ccc(OCc2ccccc2)cc1
CC(C)(C)OC(=O)N1CCC[C@H]1C(=O)O,CCN=C=NCCCN(C)C
Cc1ccc(C(=N)N)cc1,SC(Cl)(Cl)Cl
C1COCCN1,O=C(NCCCl)c1ccc(Cl)cc1
COc1ccc(-c2ccc3cc(C=O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,C[Si](C)(C)C#N
CCN(CC)CCOc1ccc(C(=O)Cl)cc1,COc1ccc(-c2cc3ccccc3o2)cc1
N#CCCl,N#Cc1ccc(=O)n(-c2ccccc2Cl)c1[S-]
CCCI,O=S1(=O)CCCN1[C@@H](c1ccccc1)[C@H](O)c1ccccc1
CC(O)C(=O)O,OCCCl
Cc1cnc(N2CCNCC2)c(C)c1,O=C(O)c1ccc(Br)c(F)c1
C1CO1,CC(=NO)C(C)(C)C
Cc1ccc(S(=O)(=O)OCCC2CCN(C=O)CC2)cc1,Nc1nccc2[nH]c(Sc3cc4c(cc3Br)OCO4)nc12
CCOC(=O)c1ccc(Br)c(C)c1,OB(O)c1ccccc1
Brc1cncc(C2CO2)c1,CC(C)=O
BrBr,COc1ccc(Oc2c(Cl)cc(C(=O)N(C)CC(=O)O)cc2Cl)cc1C(C)C
ClCc1coc(C2CC2)n1,O=C1NC(=O)c2ccccc21
C=CCOC(=O)c1ccc(N(Cc2ccc(OC(F)(F)F)cc2)C(=O)OC(C)(C)C)c([N+](=O)[O-])c1,CN(C)C=O
Brc1ccccc1,Cc1ccncc1
Cc1cc2c(c3ccc(=O)[nH]c13)OC(CBr)C2,NCCS
COC(=O)c1sc(-c2ccccc2)cc1N=NN(C)C,[NH4+]
CCCCc1ccc(O)cc1Br,CN1CCCC1=O
CC(C)(C)OC(=O)N1CCC(CCCO)CC1,Oc1cccc(C(F)(F)F)c1
C#Cc1ccccc1,CCC(C)=O
Nc1nc(O)c(-c2cccc(Cl)c2)s1,O=C(O)c1ccc2cccnc2c1O
O=C(O)c1ccc2cnccc2n1,c1ccc2c(c1)CCNC2
CCc1[nH]n(C2CCCC2)c2nc(=S)[nH]c(=O)c1-2,CN(C)C=O
COc1ccc(N)cc1,O=Cc1ccco1
CCI,CSc1nccc(-n2ccc3c(NS(C)(=O)=O)cccc32)n1
CC(C)(C)c1cc(C(=O)Cl)cc(C(C)(C)C)c1O,CN(C)CCCO
CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@@]1(C(=O)N2CCCCO2)C[C@@H]1c1ccccc1)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)CCCCCCN)C(C)C,COC(=O)N1C(=O)C=CC1=O
CC(C)(C)OC(=O)n1cc(CBr)cn1,[C-]#N
CC1(CCl)COC1,[N-]=[N+]=[N-]
CCOC(=O)Cl,Cc1cccc([N+](=O)[O-])c1NC1CCN(Cc2ccccc2)CC1
COc1cc(N)ccc1-c1nc2c(c(C3CCCCC3)nn2C)c(=O)[nH]1,N#C[O-]
C=CCO,Clc1nsnc1-c1cccnc1
N[C@@H]1Cc2ccccc2[C@@H](Cl)[C@H]1O,O=C(Cl)c1ccccc1
CCOC(C)=O,N#Cc1cncc(F)n1
O=[N+]([O-])O,[O-][n+]1cccc2c1CCCC2
C1CCOC1,COc1ccc(CCNC(=O)C(=CN(C)C)c2ccc3c(c2)CCCC3)cc1OC
CC(C)(C)OC(=O)N[C@H](CO)Cc1ccccc1F,O=C(n1ccnc1)n1ccnc1
C1COCCN1,O=C(O)c1cccc(Br)c1
CCO,CCOc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ccc2[N+](=O)[O-])n[nH]1
C1COCCO1,C=Cc1ccc(NS(=O)(=O)c2ccc(F)cc2)c(C(=O)OCc2ccccc2)c1C
COc1nc(C(OCC2CCCC2)c2ccc(C(C)(C)C)cc2)ccc1Cl,SC1CCCC1
NO,O=Cc1cc2nccc(Cl)c2s1
CCOC(=O)CCc1cn(Cc2ccc(OCc3nc(-c4ccccc4)oc3C)cc2)nc1O,CI
CONS(=O)(=O)c1ccc(Cl)c(Cl)c1,O=[N+]([O-])c1ccc(F)c(Cl)c1
COCCBr,O=[N+]([O-])c1ncc(Cl)cc1O
CC(=O)c1ccc2c(c1)Cc1cc(C(C)=O)ccc1O2,O=[Cr](=O)([O-])O[Cr](=O)(=O)[O-]
CCCn1c(N)c(N)c(=O)n(CCC)c1=O,COCOc1ccc(C=CC(=O)O)cc1OC
CI,COC(=O)CCCCCC(c1ccc(F)cc1)c1c(O)c(C)c(C)c2c1CCCC2
NC(Cc1ccc(C(F)(F)F)cc1)C(O)c1ccc(F)cc1,O=C(Cl)C1CCCCC1
CCOC(=O)c1cc(C)c(C=O)[nH]1,CN(C)C=O
NS(=O)(=O)c1ccccc1,O=C(O)CSC1c2ccccc2COc2ccc(OCc3ccc4ccc(Cl)cc4n3)cc21
BrCCCBr,c1ccc2[nH]ccc2c1
N#CC1(Nc2ccc(F)cc2)CCN(Cc2ccccc2)CC1,[OH-]
CCOC(=O)c1ccc(-c2ccc(O)c(-c3ccc4c(c3)C(C)(C)CCC4(C)C)c2)cc1,OCCCCCl
CCOC(=O)CCCBr,N#CC(CCOC1CCCCO1)c1ccc(Cl)c(Cl)c1
Fc1ccc2nnc(N3CCCCCC3)n2c1,N[C@H]1CC[C@@H](O)c2ccccc21
CCOC(=O)N1C(=O)c2ccccc2C1=O,NC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CCCC(N)C(=O)O)[C@H]2SC1
Cc1cccc(C)c1NN,O=C(Cl)OCCCl
CCCCCCCNC(=O)Nc1ccccc1C(=O)NC1CCNCC1,COCc1c(C(C)C)nc(C(C)C)c(C=O)c1-c1ccc(F)cc1
NNC(N)=O,O=[N+]([O-])c1cc(F)ccc1/C=C/N1CCCC1
C1CNC1,O=S(=O)(Cl)c1ccc(F)cc1
COc1nc2ccc(Br)cc2c(Cl)c1Cc1ccc(-n2cccn2)cc1,Cc1nc(C)c(C(=O)c2cnnn2C)s1
CC(C)(C)OC(=O)N[C@H]1CC[C@@H](O)CNC1=O,CC(C)(C)[Si](C)(C)Cl
CN(C)C=Cc1ccc(C#N)cc1Cl,[O-][I+3]([O-])([O-])[O-]
CCOC(=O)CS,Nc1cc(Cl)cnc1Cl
II,Oc1ccc(Cl)nc1
O=C1CCCc2cc(O)ccc21,O=Cc1ccc(F)cc1
CC(C)(C)OC(=O)C[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)N1C(=O)OC[C@@H]1Cc1ccccc1,[OH-]
CCN=C=NCCCN(C)C,NC(=O)Nc1nc(C(=O)O)cn1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
CI,O=c1c2cccnc2c(-c2ccccc2)c2n1CCN2
O=C1Nc2ccc(Cl)cc2C(c2ccccc2F)=CC1Br,[N-]=[N+]=[N-]
NC[C@H]1CN(Cc2ccc(Cl)c(Cl)c2)CCO1,O=C(Cl)CCl
Brc1cnc2[nH]ccc2c1,COc1ccc(C(=O)Cl)cc1
CC(C)=O,O=Cc1ccc2ccccc2c1
BrCc1ccccc1,S=c1c2[nH]cnc2c2cccnc2n1-c1ccccc1
CCCCOCCOc1ccc(-c2ccc3c(c2)C=C(C(=O)OC)CCN3)cc1,COc1ccccc1C=O
Cc1cccc(C[C@H](N)C(=O)O)c1,O=C(Cl)C(c1ccccc1)c1ccccc1
C1CCOC1,COc1ccc2c(c1)OCC(C)C2=O
CC1(C)CC(c2cccc(C(=O)Nc3ccccc3)c2)Nc2ccc(C(=O)O)cc21,NS(=O)(=O)C1CC1
CCC(C)Oc1ccc(O)cc1,CS(=O)(=O)OCC1=COc2ccccc2O1
CN,O=[N+]([O-])c1cc(Br)ccc1F
N#Cc1cccc(-c2nn(Cc3ccc(F)cc3F)c3c2CNCC3)c1,O=C(Cl)C1CC1
CC(C)(C)c1ccc(Sc2ccc(C(C)(C)C)cc2)cc1,COC(Cl)Cl
CC1(C)CC(c2cccc(N3CCOC3=O)c2)Nc2c(C(=O)O)cc(Cl)cc21,CS(N)(=O)=O
